,Reference,System,Value,Use
0,8c95253e-8ee8-9ae8-6d40-021d702dc78e,phone,555-152-6034,home
1,6fa23508-960e-ff22-c3d0-0519a036543b,phone,555-455-2751,home
2,83524678-9bff-93b7-ef89-d7f5390072ff,phone,555-106-9705,home
3,4e343b0a-8698-b6dd-64c6-c2d2d0959e6e,phone,555-675-9219,home
4,6e4ac285-2a8d-a30d-5ecb-e32cb595a876,phone,555-418-5997,home
5,1029f880-d3db-f477-9da3-f59c14ed22c6,phone,555-748-5270,home
6,a18edb30-e93c-8e9b-8e6a-95a651a24a36,phone,555-418-2098,home
7,f406a4e8-821b-0c9a-c8ec-09ad0f1fe9c6,phone,555-320-9982,home
8,b8c71fe0-e911-205e-19c3-b92e88e5b5a6,phone,555-640-7436,home
9,e5b7d947-da2b-9cf4-12a0-9eb2cf735330,phone,555-326-5395,home
10,b0478b4f-16f2-af38-d199-44db19304df2,phone,555-950-7518,home
11,0f978b87-8054-e6d3-aa03-20e101ea37c0,phone,555-810-7175,home
12,64cdd7b0-d5a5-ca8a-4b03-3db12d7534be,phone,555-131-4483,home
13,cced3031-d98c-d870-5dce-f0086d8c7a34,phone,555-419-9987,home
14,7c4e1f8e-29e4-f88f-095a-aa6a9f55e6de,phone,555-501-4799,home
15,91cf58f9-191c-3a49-a979-2ca64e52c369,phone,555-326-4619,home
16,cf3ce382-cceb-1557-89ac-b751a9e0e65d,phone,555-665-1433,home
17,1ba50d39-8105-69de-09de-c6d5358b3cb6,phone,555-662-1542,home
18,b0f40536-9dc8-2ea0-0bbf-467a69f5e3ad,phone,555-884-9015,home
19,6a15a792-ed41-e1f3-b942-3c2bd4a01ad6,phone,555-871-4223,home
20,bdb76eef-1faf-1ed7-d1ff-553d7df26fb3,phone,555-136-2338,home
21,8a3247d3-a54c-43f2-2c5d-a8f5e28ff588,phone,555-136-4712,home
22,7b3071eb-aacb-0596-d7b5-4abcb83ac2f0,phone,555-103-6796,home
23,ac00ac90-9af7-5b4f-aca4-8b1b9990fc1a,phone,555-425-6567,home
24,6dcdc387-88f9-758d-260c-4235ac7c269f,phone,555-567-4343,home
25,839e7cf9-b7d6-da6c-70bb-c151bf5c1c61,phone,555-731-9882,home
26,d8cb2b2b-fee1-36de-2e1e-0fda2ed1d991,phone,555-777-8307,home
27,e94401de-18ad-e190-9113-ee5ff31b1439,phone,555-635-6296,home
28,e9200276-eb25-ac87-e3bf-31de7e8d0b1e,phone,555-811-6629,home
29,0d55a582-07fe-a897-776c-3ab5e48cd457,phone,555-571-7714,home
30,0d7ad451-ac1b-dc0e-48bd-e0a8e1de4f15,phone,555-893-4758,home
